day,hour,command,elapsed
20210520,04:19:03,PresetAO,60
20210520,04:47:33,PresetAO,48
20210520,05:13:31,PresetAO,49
20210520,06:22:16,PresetAO,62
20210520,06:33:15,PresetAO,63
20210520,07:04:22,PresetAO,49
20210520,07:13:46,PresetAO,39
20210520,07:21:30,PresetAO,21
20210520,07:29:24,PresetAO,21
20210520,04:21:47,CenterStar,9
20210520,04:48:56,CenterStar,7
20210520,05:15:42,CenterStar,9
20210520,06:27:58,CenterStar,16
20210520,06:34:22,CenterStar,10
20210520,05:16:01,CenterPupils,57
20210520,06:28:25,CenterPupils,209
20210520,06:34:36,CenterPupils,53
20210520,04:23:56,CheckFlux,1
20210520,04:51:33,CheckFlux,2
20210520,05:17:21,CheckFlux,1
20210520,06:35:31,CheckFlux,1
20210520,04:24:01,CloseLoop,236
20210520,04:51:37,CloseLoop,235
20210520,04:56:38,CloseLoop,189
20210520,05:17:23,CloseLoop,55
20210520,06:35:48,CloseLoop,54
20210520,05:19:03,OptimizeGain,119
20210520,05:25:58,ApplyOpticalGain,40
20210520,05:36:30,OffsetXY,16
20210520,05:38:06,OffsetXY,16
20210520,05:39:39,OffsetXY,3
20210520,05:41:04,OffsetXY,16
20210520,05:42:36,OffsetXY,15
20210520,05:44:11,OffsetXY,2
20210520,05:45:40,OffsetXY,18
20210520,05:47:17,OffsetXY,16
20210520,05:48:49,OffsetXY,3
20210520,05:50:19,OffsetXY,19
20210520,05:51:55,OffsetXY,15
20210520,05:53:29,OffsetXY,3
20210520,05:54:58,OffsetXY,16
20210520,05:56:34,OffsetXY,16
20210520,05:58:10,OffsetXY,3
20210520,05:59:38,OffsetXY,16
20210520,06:01:11,OffsetXY,15
20210520,06:02:46,OffsetXY,3
20210520,06:04:16,OffsetXY,19
20210520,06:05:54,OffsetXY,16
20210520,06:07:29,OffsetXY,2
20210520,06:09:02,OffsetXY,18
20210520,06:10:39,OffsetXY,15
20210520,06:12:14,OffsetXY,3
20210520,06:13:37,OffsetXY,19
20210520,06:15:16,OffsetXY,16
20210520,06:16:52,OffsetXY,2
20210520,06:18:21,OffsetXY,19
20210520,06:19:59,OffsetXY,15
20210520,06:43:26,OffsetXY,4
20210520,06:44:55,OffsetXY,4
20210520,06:46:31,OffsetXY,3
20210520,06:47:59,OffsetXY,4
20210520,06:49:28,OffsetXY,3
20210520,06:50:56,OffsetXY,2
20210520,06:52:30,OffsetXY,3
20210520,06:53:56,OffsetXY,4
20210520,06:55:25,OffsetXY,3
